Step 5900/500000, Total Loss: 0.4518, Mel Loss: 0.2143, Mel PostNet Loss: 0.2135, Pitch Loss: 0.0116, Energy Loss: 0.0080, Duration Loss: 0.0044
Step 6000/500000, Total Loss: 0.4623, Mel Loss: 0.2186, Mel PostNet Loss: 0.2177, Pitch Loss: 0.0124, Energy Loss: 0.0085, Duration Loss: 0.0051
Step 6100/500000, Total Loss: 0.5489, Mel Loss: 0.2523, Mel PostNet Loss: 0.2513, Pitch Loss: 0.0231, Energy Loss: 0.0133, Duration Loss: 0.0090
Step 6200/500000, Total Loss: 0.5492, Mel Loss: 0.2524, Mel PostNet Loss: 0.2514, Pitch Loss: 0.0223, Energy Loss: 0.0147, Duration Loss: 0.0084
Step 6300/500000, Total Loss: 0.4460, Mel Loss: 0.2103, Mel PostNet Loss: 0.2094, Pitch Loss: 0.0141, Energy Loss: 0.0083, Duration Loss: 0.0039
Step 6400/500000, Total Loss: 0.4495, Mel Loss: 0.2128, Mel PostNet Loss: 0.2120, Pitch Loss: 0.0116, Energy Loss: 0.0085, Duration Loss: 0.0045
Step 6500/500000, Total Loss: 0.4543, Mel Loss: 0.2159, Mel PostNet Loss: 0.2152, Pitch Loss: 0.0113, Energy Loss: 0.0073, Duration Loss: 0.0046
Step 6600/500000, Total Loss: 0.5072, Mel Loss: 0.2355, Mel PostNet Loss: 0.2345, Pitch Loss: 0.0190, Energy Loss: 0.0110, Duration Loss: 0.0071
Step 6700/500000, Total Loss: 0.5250, Mel Loss: 0.2426, Mel PostNet Loss: 0.2416, Pitch Loss: 0.0219, Energy Loss: 0.0118, Duration Loss: 0.0072
Step 6800/500000, Total Loss: 0.5198, Mel Loss: 0.2427, Mel PostNet Loss: 0.2417, Pitch Loss: 0.0166, Energy Loss: 0.0109, Duration Loss: 0.0078
Step 6900/500000, Total Loss: 0.4489, Mel Loss: 0.2140, Mel PostNet Loss: 0.2132, Pitch Loss: 0.0110, Energy Loss: 0.0066, Duration Loss: 0.0040
Step 7000/500000, Total Loss: 0.4471, Mel Loss: 0.2132, Mel PostNet Loss: 0.2125, Pitch Loss: 0.0104, Energy Loss: 0.0068, Duration Loss: 0.0041
Step 7100/500000, Total Loss: 0.5132, Mel Loss: 0.2396, Mel PostNet Loss: 0.2386, Pitch Loss: 0.0167, Energy Loss: 0.0112, Duration Loss: 0.0070
Step 7200/500000, Total Loss: 0.5100, Mel Loss: 0.2383, Mel PostNet Loss: 0.2373, Pitch Loss: 0.0166, Energy Loss: 0.0109, Duration Loss: 0.0069
Step 7300/500000, Total Loss: 0.5151, Mel Loss: 0.2405, Mel PostNet Loss: 0.2394, Pitch Loss: 0.0163, Energy Loss: 0.0112, Duration Loss: 0.0078
Step 7400/500000, Total Loss: 0.4487, Mel Loss: 0.2146, Mel PostNet Loss: 0.2138, Pitch Loss: 0.0097, Energy Loss: 0.0067, Duration Loss: 0.0039
Step 7500/500000, Total Loss: 0.4592, Mel Loss: 0.2121, Mel PostNet Loss: 0.2112, Pitch Loss: 0.0247, Energy Loss: 0.0064, Duration Loss: 0.0047
Step 7600/500000, Total Loss: 0.4914, Mel Loss: 0.2299, Mel PostNet Loss: 0.2289, Pitch Loss: 0.0156, Energy Loss: 0.0107, Duration Loss: 0.0064
Step 7700/500000, Total Loss: 0.5061, Mel Loss: 0.2377, Mel PostNet Loss: 0.2367, Pitch Loss: 0.0149, Energy Loss: 0.0097, Duration Loss: 0.0071
Step 7800/500000, Total Loss: 0.5046, Mel Loss: 0.2372, Mel PostNet Loss: 0.2362, Pitch Loss: 0.0145, Energy Loss: 0.0095, Duration Loss: 0.0073
Step 7900/500000, Total Loss: 0.4265, Mel Loss: 0.2052, Mel PostNet Loss: 0.2045, Pitch Loss: 0.0078, Energy Loss: 0.0057, Duration Loss: 0.0032
Step 8000/500000, Total Loss: 0.4218, Mel Loss: 0.2022, Mel PostNet Loss: 0.2013, Pitch Loss: 0.0086, Energy Loss: 0.0061, Duration Loss: 0.0036
Step 8100/500000, Total Loss: 0.4704, Mel Loss: 0.2227, Mel PostNet Loss: 0.2216, Pitch Loss: 0.0109, Energy Loss: 0.0099, Duration Loss: 0.0053
Step 8200/500000, Total Loss: 0.5094, Mel Loss: 0.2390, Mel PostNet Loss: 0.2380, Pitch Loss: 0.0148, Energy Loss: 0.0109, Duration Loss: 0.0067
Step 8300/500000, Total Loss: 0.5080, Mel Loss: 0.2387, Mel PostNet Loss: 0.2378, Pitch Loss: 0.0139, Energy Loss: 0.0102, Duration Loss: 0.0073
Step 8400/500000, Total Loss: 0.4162, Mel Loss: 0.2005, Mel PostNet Loss: 0.1997, Pitch Loss: 0.0075, Energy Loss: 0.0052, Duration Loss: 0.0033
