Step 2100/600000, Total Loss: 2.8209, Mel Loss: 0.8073, Mel PostNet Loss: 0.8343, Pitch Loss: 0.7562, Energy Loss: 0.3342, Duration Loss: 0.0890
Step 2200/600000, Total Loss: 3.0878, Mel Loss: 0.7872, Mel PostNet Loss: 0.8151, Pitch Loss: 1.0147, Energy Loss: 0.3819, Duration Loss: 0.0890
Step 2300/600000, Total Loss: 3.0332, Mel Loss: 0.7748, Mel PostNet Loss: 0.7937, Pitch Loss: 0.9884, Energy Loss: 0.3991, Duration Loss: 0.0773
Step 2400/600000, Total Loss: 2.8203, Mel Loss: 0.7617, Mel PostNet Loss: 0.7855, Pitch Loss: 0.9319, Energy Loss: 0.2614, Duration Loss: 0.0798
Step 2500/600000, Total Loss: 2.7982, Mel Loss: 0.7384, Mel PostNet Loss: 0.7635, Pitch Loss: 0.9248, Energy Loss: 0.2866, Duration Loss: 0.0849
Step 2600/600000, Total Loss: 2.8498, Mel Loss: 0.7538, Mel PostNet Loss: 0.7767, Pitch Loss: 0.9335, Energy Loss: 0.2941, Duration Loss: 0.0917
Step 2700/600000, Total Loss: 2.7856, Mel Loss: 0.7568, Mel PostNet Loss: 0.7686, Pitch Loss: 0.8476, Energy Loss: 0.3310, Duration Loss: 0.0816
Step 2800/600000, Total Loss: 2.8758, Mel Loss: 0.7564, Mel PostNet Loss: 0.7615, Pitch Loss: 0.9334, Energy Loss: 0.3477, Duration Loss: 0.0768
Step 2900/600000, Total Loss: 2.6929, Mel Loss: 0.6894, Mel PostNet Loss: 0.6999, Pitch Loss: 0.9589, Energy Loss: 0.2627, Duration Loss: 0.0821
Step 3000/600000, Total Loss: 2.7824, Mel Loss: 0.7293, Mel PostNet Loss: 0.7390, Pitch Loss: 0.9292, Energy Loss: 0.3062, Duration Loss: 0.0788
Step 3100/600000, Total Loss: 2.6978, Mel Loss: 0.7278, Mel PostNet Loss: 0.7302, Pitch Loss: 0.8876, Energy Loss: 0.2634, Duration Loss: 0.0889
Step 3200/600000, Total Loss: 2.4478, Mel Loss: 0.6885, Mel PostNet Loss: 0.6920, Pitch Loss: 0.7043, Energy Loss: 0.2855, Duration Loss: 0.0775
Step 3300/600000, Total Loss: 2.7388, Mel Loss: 0.7515, Mel PostNet Loss: 0.7534, Pitch Loss: 0.8658, Energy Loss: 0.2878, Duration Loss: 0.0804
Step 3400/600000, Total Loss: 2.5955, Mel Loss: 0.6960, Mel PostNet Loss: 0.6972, Pitch Loss: 0.7903, Energy Loss: 0.3341, Duration Loss: 0.0778
Step 3500/600000, Total Loss: 2.5688, Mel Loss: 0.6831, Mel PostNet Loss: 0.6834, Pitch Loss: 0.8633, Energy Loss: 0.2622, Duration Loss: 0.0768
Step 3600/600000, Total Loss: 2.8238, Mel Loss: 0.7029, Mel PostNet Loss: 0.7032, Pitch Loss: 1.0090, Energy Loss: 0.3204, Duration Loss: 0.0882
Step 3700/600000, Total Loss: 2.4070, Mel Loss: 0.6497, Mel PostNet Loss: 0.6511, Pitch Loss: 0.7256, Energy Loss: 0.3009, Duration Loss: 0.0797
Step 3800/600000, Total Loss: 2.4754, Mel Loss: 0.6902, Mel PostNet Loss: 0.6897, Pitch Loss: 0.6769, Energy Loss: 0.3354, Duration Loss: 0.0831
Step 3900/600000, Total Loss: 2.7486, Mel Loss: 0.7165, Mel PostNet Loss: 0.7177, Pitch Loss: 0.9286, Energy Loss: 0.3058, Duration Loss: 0.0800
Step 4000/600000, Total Loss: 2.5475, Mel Loss: 0.6717, Mel PostNet Loss: 0.6714, Pitch Loss: 0.8504, Energy Loss: 0.2776, Duration Loss: 0.0764
Step 4100/600000, Total Loss: 2.6605, Mel Loss: 0.6824, Mel PostNet Loss: 0.6820, Pitch Loss: 0.8717, Energy Loss: 0.3445, Duration Loss: 0.0800
Step 4200/600000, Total Loss: 2.4607, Mel Loss: 0.6403, Mel PostNet Loss: 0.6409, Pitch Loss: 0.8427, Energy Loss: 0.2605, Duration Loss: 0.0763
Step 4300/600000, Total Loss: 2.3397, Mel Loss: 0.6561, Mel PostNet Loss: 0.6557, Pitch Loss: 0.6669, Energy Loss: 0.2860, Duration Loss: 0.0749
Step 4400/600000, Total Loss: 2.3882, Mel Loss: 0.6542, Mel PostNet Loss: 0.6540, Pitch Loss: 0.7348, Energy Loss: 0.2740, Duration Loss: 0.0712
Step 100/600000, Total Loss: 10.0215, Mel Loss: 3.6413, Mel PostNet Loss: 4.2372, Pitch Loss: 1.0601, Energy Loss: 0.8619, Duration Loss: 0.2210
Step 200/600000, Total Loss: 7.5594, Mel Loss: 2.5763, Mel PostNet Loss: 3.1256, Pitch Loss: 0.9577, Energy Loss: 0.7304, Duration Loss: 0.1694
Step 300/600000, Total Loss: 6.3826, Mel Loss: 2.2782, Mel PostNet Loss: 2.5109, Pitch Loss: 0.9707, Energy Loss: 0.4672, Duration Loss: 0.1556
Step 100/600000, Total Loss: 10.5026, Mel Loss: 3.7782, Mel PostNet Loss: 4.1798, Pitch Loss: 1.3663, Energy Loss: 0.9636, Duration Loss: 0.2146
Step 200/600000, Total Loss: 8.0426, Mel Loss: 2.6151, Mel PostNet Loss: 3.4438, Pitch Loss: 1.1257, Energy Loss: 0.6831, Duration Loss: 0.1749
Step 300/600000, Total Loss: 6.2361, Mel Loss: 2.2833, Mel PostNet Loss: 2.3517, Pitch Loss: 0.9830, Energy Loss: 0.4569, Duration Loss: 0.1612
Step 400/600000, Total Loss: 5.5220, Mel Loss: 1.8718, Mel PostNet Loss: 2.0409, Pitch Loss: 1.0260, Energy Loss: 0.4331, Duration Loss: 0.1502
Step 500/600000, Total Loss: 4.9824, Mel Loss: 1.6031, Mel PostNet Loss: 1.9259, Pitch Loss: 0.9353, Energy Loss: 0.3885, Duration Loss: 0.1296
Step 600/600000, Total Loss: 5.1612, Mel Loss: 1.5521, Mel PostNet Loss: 1.9673, Pitch Loss: 1.0523, Energy Loss: 0.4737, Duration Loss: 0.1159
Step 100/600000, Total Loss: 32.7447, Mel Loss: 17.0214, Mel PostNet Loss: 13.4491, Pitch Loss: 1.1794, Energy Loss: 0.8509, Duration Loss: 0.2439
Step 200/600000, Total Loss: 21.1123, Mel Loss: 11.2417, Mel PostNet Loss: 8.0551, Pitch Loss: 1.1131, Energy Loss: 0.5431, Duration Loss: 0.1593
Step 300/600000, Total Loss: 11.5889, Mel Loss: 5.7167, Mel PostNet Loss: 4.1883, Pitch Loss: 1.0739, Energy Loss: 0.4759, Duration Loss: 0.1341
Step 400/600000, Total Loss: 6.1113, Mel Loss: 2.5241, Mel PostNet Loss: 2.0875, Pitch Loss: 0.9363, Energy Loss: 0.4481, Duration Loss: 0.1153
Step 100/600000, Total Loss: 30.9979, Mel Loss: 16.7553, Mel PostNet Loss: 12.1263, Pitch Loss: 1.0539, Energy Loss: 0.8308, Duration Loss: 0.2316
Step 200/600000, Total Loss: 20.4112, Mel Loss: 10.6716, Mel PostNet Loss: 7.9211, Pitch Loss: 1.0440, Energy Loss: 0.6201, Duration Loss: 0.1543
Step 300/600000, Total Loss: 11.1272, Mel Loss: 5.5087, Mel PostNet Loss: 4.0521, Pitch Loss: 0.9890, Energy Loss: 0.4343, Duration Loss: 0.1431
Step 400/600000, Total Loss: 5.6328, Mel Loss: 2.1867, Mel PostNet Loss: 1.9106, Pitch Loss: 0.9907, Energy Loss: 0.4275, Duration Loss: 0.1174
Step 500/600000, Total Loss: 4.5642, Mel Loss: 1.4577, Mel PostNet Loss: 1.5961, Pitch Loss: 0.9711, Energy Loss: 0.4241, Duration Loss: 0.1154
Step 600/600000, Total Loss: 4.5922, Mel Loss: 1.3507, Mel PostNet Loss: 1.5501, Pitch Loss: 1.1195, Energy Loss: 0.4523, Duration Loss: 0.1196
Step 700/600000, Total Loss: 4.0831, Mel Loss: 1.1194, Mel PostNet Loss: 1.5203, Pitch Loss: 0.8872, Energy Loss: 0.4533, Duration Loss: 0.1029
Step 800/600000, Total Loss: 3.7406, Mel Loss: 1.0526, Mel PostNet Loss: 1.3222, Pitch Loss: 0.8981, Energy Loss: 0.3722, Duration Loss: 0.0956
Step 900/600000, Total Loss: 3.8977, Mel Loss: 1.0523, Mel PostNet Loss: 1.4823, Pitch Loss: 0.8938, Energy Loss: 0.3638, Duration Loss: 0.1055
Step 1000/600000, Total Loss: 3.4283, Mel Loss: 0.9988, Mel PostNet Loss: 1.1454, Pitch Loss: 0.8142, Energy Loss: 0.3794, Duration Loss: 0.0905
Step 1100/600000, Total Loss: 3.8433, Mel Loss: 1.1010, Mel PostNet Loss: 1.1714, Pitch Loss: 1.0594, Energy Loss: 0.4197, Duration Loss: 0.0919
Step 1200/600000, Total Loss: 3.5410, Mel Loss: 0.9617, Mel PostNet Loss: 1.1234, Pitch Loss: 0.9427, Energy Loss: 0.4142, Duration Loss: 0.0991
Step 1300/600000, Total Loss: 3.5155, Mel Loss: 0.9996, Mel PostNet Loss: 1.0930, Pitch Loss: 0.9208, Energy Loss: 0.4032, Duration Loss: 0.0989
Step 1400/600000, Total Loss: 3.2621, Mel Loss: 0.9658, Mel PostNet Loss: 0.9939, Pitch Loss: 0.8581, Energy Loss: 0.3521, Duration Loss: 0.0921
Step 1500/600000, Total Loss: 3.1697, Mel Loss: 0.8856, Mel PostNet Loss: 1.0334, Pitch Loss: 0.8306, Energy Loss: 0.3368, Duration Loss: 0.0833
